Date,Impact,classes_-1,classes_1,roberta_neg,roberta_neu,roberta_pos,tweet_volume,+1D ETH,Price Diff ETH,ETH Volume,ETH_close
2020-06-15,21027,8,31,0.1478359574352,0.31757365448,0.534590391112,28560.0,1,4.48727234499998,10536099884.1166,229.928901759
2020-06-16,14315,9,31,0.13949765171236111,0.4148417800138889,0.44566056254027775,28992.0,0,-1.3878946209999867,7965648016.42445,234.416174104
2020-06-17,13443,3,33,0.09360326112397059,0.42562871573529415,0.4807680214558823,23559.0,0,-0.9271168500000044,7701391591.86815,233.028279483
2020-06-18,61909,7,38,0.11075972471312498,0.396823427375,0.49241683464,23904.0,0,-4.962872847999989,6713800871.61371,232.101162633
2020-06-19,17322,11,25,0.18466714321314287,0.44467085842857146,0.3706620072542857,29522.0,1,2.1359670069999765,6946372589.52751,227.138289785
2020-06-20,3025,7,15,0.1874930396446154,0.42891330582051285,0.3835936690871795,26154.0,0,-0.2844362879999949,6252830565.7274,229.274256792
2020-06-21,18118,12,21,0.2124167553413793,0.4031130032413793,0.38447025587413797,26333.0,1,13.543372636000017,5600408177.54414,228.989820504
2020-06-22,3072,10,49,0.0961315742723301,0.41216103469902915,0.49170739803883495,33399.0,1,1.608951165999997,9079586552.41625,242.53319314
2020-06-23,14664,5,32,0.09626484506428572,0.4225566245342857,0.4811785283042857,34373.0,0,-8.369682215000012,6624530348.23615,244.142144306
2020-06-24,27297,13,24,0.18192043852307693,0.45677978610256414,0.3612997734564103,32446.0,0,-2.827975396,8815030024.6531,235.772462091
2020-06-25,27926,8,31,0.1494166849442857,0.41224092945714286,0.43834237624285716,31154.0,0,-3.2764474450000023,7010426122.49538,232.944486695
2020-06-26,8069,8,26,0.1443825222783582,0.444321807641791,0.4112956728880597,30758.0,0,-6.708253310999993,7187490225.5069,229.66803925
2020-06-27,1808,12,14,0.3249439825090909,0.2847014197121212,0.39035457754545455,28444.0,1,2.387382494999997,6918380954.96753,222.959785939
2020-06-28,11964,8,17,0.19511206605263157,0.3825022042894737,0.4223857438552632,28965.0,1,2.8476982669999984,6205925718.18911,225.347168434
2020-06-29,32060,9,71,0.08875762115451613,0.19563059660215054,0.7156117294075269,32380.0,0,-1.879869342999996,6726164653.25879,228.194866701
2020-06-30,16413,14,82,0.11244493953942446,0.27746159134028775,0.6100934452266187,28895.0,1,4.798424353999991,6094093001.38843,226.314997358
2020-07-01,18809,10,29,0.12313885924041097,0.4477617120684932,0.4290994068273972,26910.0,0,-1.7212201299999776,6463737442.7548,231.113421712
2020-07-02,-3896,14,27,0.20787727760869565,0.38657742584927535,0.4055453007202898,26683.0,0,-4.005138323000011,6212210566.42201,229.392201582
2020-07-03,16315,16,31,0.18618942063777777,0.37639372234722224,0.43741685824305554,25726.0,1,3.687049034000012,5109032700.30978,225.387063259
2020-07-04,5370,3,13,0.13095340024333332,0.4359081246666667,0.43313847466666666,24368.0,0,-1.409513584000024,5228310135.25311,229.074112293
2020-07-05,10632,10,22,0.18218212187923077,0.4192353697788462,0.3985825109096154,20039.0,1,13.84562641300002,5292172428.83374,227.664598709
2020-07-06,21914,10,46,0.12382579214076923,0.416032188978022,0.4601420105054945,27694.0,0,-2.4346967930000005,8782917552.8496,241.510225122
2020-07-07,15316,11,33,0.15855160483929412,0.424675513,0.41677289133529416,22547.0,1,7.594487028999993,6441497597.21395,239.075528329
2020-07-08,35475,6,48,0.11067302057,0.4391307837752294,0.4501961846559633,22723.0,0,-3.654047528999996,9892586411.24723,246.670015358
2020-07-09,23322,11,34,0.13714610668205127,0.41146349385897435,0.4513903999820513,24645.0,0,-2.0309826220000105,8429099198.82344,243.015967829
2020-07-10,19489,9,27,0.15064091019142856,0.40724178484285717,0.4421172943857143,24965.0,0,-1.5268082769999864,7281370521.9948,240.984985207
2020-07-11,15653,2,24,0.10151161330204081,0.4294680590408163,0.46902031358571433,22288.0,1,2.6735183049999875,5643067315.96068,239.45817693
2020-07-12,29136,12,19,0.21912264392510206,0.35424830373469385,0.4266290436571429,19664.0,0,-2.527110394999994,6596394717.63645,242.131695235
2020-07-13,15713,6,29,0.109859984795,0.42089494936764704,0.4692450671470588,25309.0,1,0.6069093369999905,7787751467.56729,239.60458484
2020-07-14,23295,12,46,0.12197957863391304,0.38771563484782606,0.49030477021739133,35940.0,0,-1.787967229000003,7357458554.75763,240.211494177
2020-07-15,-125028,79,45,0.35445340588114943,0.3711707861551724,0.27437580880574713,54174.0,0,-4.782643934999982,6189328448.08304,238.423526948
2020-07-16,13685,26,39,0.23088503139702973,0.4011074366138614,0.36800752372277223,56131.0,0,-0.8677974000000006,5832057567.02746,233.640883013
2020-07-17,5000,18,29,0.23712477572698926,0.4181513455268817,0.3447238786268817,24865.0,1,2.710719605999998,5859850528.65314,232.773085613
