Date,Impact,classes_-1,classes_1,roberta_neg,roberta_neu,roberta_pos,tweet_volume,+1D BTC,Price Diff BTC,BTC Volume,BTC_close
2020-04-29,2902,40.0,67.0,40.89906535659,100.722334701,76.3786003177,48269.0,0,-142.48358713000016,60201052202.5403,8801.03776688
2020-04-30,84830,24.0,74.0,27.28502020473,78.7279725775,76.987007039,50532.0,1,206.21262818000105,66964629541.3087,8658.55417975
2020-05-01,-16968,20.0,38.0,22.60844223745,60.804284888,42.587272575,40443.0,1,123.8293989699996,44068389996.9374,8864.76680793
2020-05-02,17939,11.0,31.0,14.456134368,44.251020883,35.2928449593,42783.0,0,-91.12769705000028,40134388683.2271,8988.5962069
2020-05-03,4165,28.0,29.0,25.746493831,40.9933883375,31.2601172945,43879.0,1,15.18609554000068,47101785174.2562,8897.46850985
2020-05-04,25216,22.0,43.0,21.92712552533,59.5813148455,48.4915583044,43373.0,1,90.41557294999984,45718796275.5495,8912.65460539
2020-05-05,15723,27.0,55.0,26.87892109628,72.079080077,61.041998053,50889.0,1,265.69190232000074,43148462663.1671,9003.07017834
2020-05-06,29089,21.0,66.0,23.4485328986,65.3428061497,69.20865918530001,55866.0,1,682.7566644399994,49371886931.4799,9268.76208066
2020-05-07,34404,29.0,95.0,38.50914966685,111.661530255,94.8293180471,59654.0,0,-108.85237724999934,61112700562.079,9951.5187451
2020-05-08,51883,24.0,74.0,32.369961141,85.253558555,76.376478598,53749.0,0,-248.76963422000156,51780748041.9506,9842.66636785
2020-05-09,15336,18.0,40.0,22.731398222,54.160460237,41.10814213,42273.0,0,-837.4655917,46566121841.1111,9593.89673363
2020-05-10,5472,42.0,51.0,42.9710862537,84.35067646339999,58.6782369399,41923.0,0,-154.63493955000013,63325279336.9553,8756.43114193
2020-05-11,89180,34.0,127.0,45.78365610287,155.790946148,138.4253974732,82838.0,1,202.6816083600006,57119858801.9446,8601.79620238
2020-05-12,12306,26.0,56.0,27.5779443246,77.05187123,63.370182561,60453.0,1,465.5098950200008,42142717533.1676,8804.47781074
2020-05-13,37744,20.0,70.0,25.346640248499998,84.862525692,69.7908333685,46507.0,1,463.73376560999895,45558144023.0156,9269.98770576
2020-05-14,22472,24.0,55.0,26.52899253266,65.930719136,56.540287841,48588.0,0,-405.5242449199996,56426907637.2912,9733.72147137
2020-05-15,-10395,39.0,68.0,41.705421233690004,86.161816272,71.1327628217,38102.0,1,48.81679925000026,48158802327.3442,9328.19722645
2020-05-16,2353,40.0,54.0,40.49927513746,67.802425513,56.698297722999996,40293.0,1,293.7253455199989,36164766407.6309,9377.0140257
2020-05-17,3773,21.0,29.0,26.098314704699998,58.006786835,37.8948965867,33797.0,1,55.835443680000026,40084250662.9587,9670.73937122
2020-05-18,11919,28.0,52.0,30.6522606506,61.657282458,49.690456055,38987.0,1,2.4631043000008503,41827139895.6194,9726.5748149
2020-05-19,47043,22.0,41.0,20.29133503892,46.505966276,43.2026998016,31927.0,0,-206.05676241999936,39254288954.9774,9729.0379192
2020-05-20,11258,31.0,48.0,33.8812185998,72.470104683,52.6486758095,33468.0,0,-441.2191342599999,36546239702.5477,9522.98115678
2020-05-21,26608,17.0,45.0,20.60723480575,57.122263743,44.2705010456,36198.0,1,100.81549534999976,39326160532.4299,9081.76202252
2020-05-22,36916,16.0,63.0,19.59581791257,55.132156523,65.2720266115,46283.0,1,26.709909819999663,29810773699.2271,9182.57751787
2020-05-23,11802,23.0,26.0,21.31491821326,40.486494103,28.1985876736,27771.0,0,-418.91942695000034,27727866811.6695,9209.28742769
2020-05-24,330,19.0,28.0,18.7760108695,40.592341945,30.6316470146,30235.0,1,116.5667606799998,32518803299.5833,8790.36800074
2020-05-25,28104,25.0,42.0,23.3543863854,54.348668667,42.2969447725,34450.0,0,-71.88170068999898,31288157264.1934,8906.93476142
2020-05-26,20367,15.0,38.0,19.01938636754,46.18282125,38.7977929817,30190.0,1,345.9648868899985,29584186947.0227,8835.05306073
2020-05-27,-15713,36.0,38.0,37.38155818517,63.0553300448,45.563110337,34046.0,1,344.73314708,32740536902.3266,9181.01794762
2020-05-28,47884,24.0,60.0,27.24578655112,64.046497144,60.707717356399996,38537.0,0,-86.62670424999851,34367073114.464,9525.7510947
2020-05-29,19202,15.0,46.0,18.31304544457,44.850140808,45.8368128211,34052.0,1,261.2896812399995,32896642044.2639,9439.12439045
2020-05-30,16268,14.0,34.0,15.8114694182,35.546089917,32.642440503,29372.0,0,-239.35515363000013,32722975141.2035,9700.41407169
2020-05-31,1508,25.0,21.0,22.5773121962,31.431415474,21.9912723402,28806.0,1,706.2091831399994,27773290298.5099,9461.05891806
2020-06-01,77871,24.0,50.0,26.71539994913,48.3309414125,47.9536589263,34801.0,0,-637.4639524799986,35198901068.3888,10167.2681012
2020-06-02,36356,41.0,52.0,42.4961959819,76.5036086475,58.000194012899996,48257.0,1,126.91361653999957,39137252108.6748,9529.80414872
2020-06-03,11782,16.0,28.0,16.38873586137,45.683415775,30.9278482697,32772.0,1,143.9188300599999,25007459262.1552,9656.71776526
2020-06-04,63096,12.0,50.0,15.33640923864,51.5813712716,47.0822182885,33808.0,0,-135.10380624000027,25921805071.9826,9800.63659532
2020-06-05,2468,13.0,25.0,15.4188167915,45.270593559,28.3105886155,31415.0,0,-11.853525729999092,23509628646.2021,9665.53278908
2020-06-06,7654,18.0,26.0,20.5124253949,40.483401929,28.0041729242,26066.0,1,105.17315404999864,20438419222.3341,9653.67926335
2020-06-07,6048,11.0,28.0,13.93681479805,36.19285097,28.870333592,26035.0,1,12.63706626000021,25015250845.6586,9758.8524174
2020-06-08,17035,19.0,55.0,21.17747032533,50.581002789,52.2415251864,30802.0,1,24.210710970000942,21486346311.9064,9771.48948366
2020-06-09,33027,21.0,48.0,21.59409855044,49.517112307,47.888789168,33586.0,1,74.39425814999959,23717842782.9821,9795.70019463
2020-06-10,22726,18.0,61.0,17.7345125035,60.044694352,60.220792369,35740.0,0,-548.3131545899996,25706567600.5701,9870.09445278
2020-06-11,22761,30.0,41.0,26.93191922515,50.2234145265,43.8446653596,34444.0,1,159.06249123999987,30247143440.179,9321.78129819
2020-06-12,21457,14.0,46.0,15.55754848803,45.683264858,42.7591857061,34530.0,0,-5.566451090000555,22610564515.3124,9480.84378943
2020-06-13,14062,21.0,29.0,19.96842873275,39.136902042,29.8946693265,30524.0,0,-88.48944619999929,17564322315.198,9475.27733834
2020-06-14,2367,16.0,22.0,17.95325308817,38.182109518,25.8646371865,24592.0,1,63.91409477999878,18991732745.507,9386.78789214
2020-06-15,26111,17.0,49.0,20.07723524216,47.920692258,46.002072211,28560.0,1,87.32238737999978,26699704768.4568,9450.70198692
2020-06-16,6863,23.0,41.0,23.43465535089,49.604313903,42.9610298395,28992.0,0,-57.76900805999867,21565537208.8567,9538.0243743
2020-06-17,16032,17.0,40.0,19.43793603363,50.585545724,45.9765176444,23559.0,0,-68.41490427000099,20177709879.1518,9480.25536624
2020-06-18,30608,17.0,46.0,19.47700122292,48.525922329,47.9970757855,23904.0,0,-123.82174594000026,17770083002.7017,9411.84046197
2020-06-19,33445,19.0,46.0,19.07281206735,43.890775349,44.0364125315,29522.0,1,44.32204597000055,19632223107.3844,9288.01871603
2020-06-20,12935,9.0,27.0,13.807866132720001,41.56909786,29.6230363829,26154.0,0,-28.71104790999925,17130541557.3081,9332.340762
2020-06-21,18327,15.0,29.0,17.8559538269,43.792504698,32.3515420827,26333.0,1,345.0878956999986,15324301168.8293,9303.62971409
2020-06-22,33201,23.0,64.0,23.65932452227,77.97658641,67.364089465,33399.0,0,-19.05924400999902,21104009513.9664,9648.71760979
2020-06-23,28893,18.0,61.0,24.6728024642,72.87120784,63.455990443,34373.0,0,-316.0480170999999,17006433272.0405,9629.65836578
2020-06-24,26483,21.0,37.0,21.8787698494,62.22409907,43.8971310456,32446.0,0,-48.79730560000098,18961716075.6046,9313.61034868
2020-06-25,41340,16.0,55.0,20.77077585366,53.872130793000004,53.357092019,31154.0,0,-101.8954392199994,18616048626.1063,9264.81304308
2020-06-26,11856,24.0,40.0,25.67074922895,54.585498615,42.7437509055,30758.0,0,-117.52664713999911,18341465836.5998,9162.91760386
2020-06-27,14900,20.0,19.0,22.153329706,37.6535631945,21.1931064304,28444.0,1,98.19123432000016,17273093144.4037,9045.39095672
2020-06-28,7647,13.0,29.0,16.5895233355,38.984449843,29.4260269805,28965.0,1,47.27227362999838,14560870760.2209,9143.58219104
2020-06-29,33611,22.0,93.0,21.83478223807,43.9662256703,89.1989860811,32380.0,0,-52.86106440999902,16460547078.0368,9190.85446467
2020-06-30,35382,25.0,98.0,29.28369026858,68.73150434429999,104.9848017053,28895.0,1,90.33218997999938,15735797743.9923,9137.99340026
2020-07-01,25575,21.0,49.0,20.95225117745,56.124597273,50.9231498439,26910.0,0,-104.91543592000016,15971550355.2327,9228.32559024
2020-07-02,1821,23.0,39.0,25.7696825161,49.5034829676,42.7268331147,26683.0,0,-36.10624328999984,16338916796.0184,9123.41015432
2020-07-03,27567,21.0,46.0,20.594918774219998,45.539365667,45.8657157125,25726.0,1,45.18403948000014,13078970998.6402,9087.30391103
2020-07-04,10690,13.0,34.0,13.54898775393,40.673426248,37.777585103,24368.0,0,-58.54508114999953,12290528515.106,9132.48795051
2020-07-05,23832,15.0,36.0,16.08790038482,45.1501210925,36.7619784643,20039.0,1,301.53188989000046,12903406143.3498,9073.94286936
